"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
1691.458871,7696,1691.458871,9592,1691.458871,0,1691.458871,13,1691.458871,0,
1696.435924,7468,1696.435924,9684,1696.435924,0,1696.435924,15,1696.435924,0,
1701.446487,7469,1701.446487,9758,1701.446487,0,1701.446487,9,1701.446487,0,
1750.052635,17140,1750.052635,25169,1750.052635,0,1750.052635,28,1750.052635,0,
1755.069314,22437,1755.069314,36125,1755.069314,0,1755.069314,24,1755.069314,0,
1760.059173,19434,1760.059173,29407,1760.059173,0,1760.059173,28,1760.059173,0,
1765.059429,21783,1765.059429,30846,1765.059429,0,1765.059429,27,1765.059429,0,
1787.052249,14793,1787.052249,20687,1787.052249,0,1787.052249,24,1787.052249,0,
1792.052795,13655,1792.052795,19691,1792.052795,0,1792.052795,30,1792.052795,0,
1797.05903,13686,1797.05903,18903,1797.05903,0,1797.05903,35,1797.05903,0,
1802.075775,13718,1802.075775,19102,1802.075775,0,1802.075775,23,1802.075775,0,
1807.125513,13537,1807.125513,19066,1807.125513,0,1807.125513,21,1807.125513,0,
1812.086001,13752,1812.086001,19223,1812.086001,0,1812.086001,30,1812.086001,0,
1817.085695,13683,1817.085695,19112,1817.085695,0,1817.085695,24,1817.085695,0,
1822.086074,13490,1822.086074,19231,1822.086074,0,1822.086074,33,1822.086074,0,
1827.085999,13641,1827.085999,19065,1827.085999,0,1827.085999,24,1827.085999,0,
1832.092904,13584,1832.092904,18930,1832.092904,0,1832.092904,23,1832.092904,0,
1837.109255,13639,1837.109255,19090,1837.109255,0,1837.109255,32,1837.109255,0,
1877.066117,85607,1877.066117,131971,1877.066117,0,1877.066117,233,1877.066117,0,
1882.069424,21587,1882.069424,30583,1882.069424,0,1882.069424,50,1882.069424,0,
1887.086192,20951,1887.086192,30265,1887.086192,0,1887.086192,46,1887.086192,0,
1892.086173,21414,1892.086173,30570,1892.086173,0,1892.086173,48,1892.086173,0,
1897.086138,21313,1897.086138,30196,1897.086138,0,1897.086138,43,1897.086138,0,
1902.0862,21086,1902.0862,30340,1902.0862,0,1902.0862,54,1902.0862,0,
1907.102566,21125,1907.102566,30547,1907.102566,0,1907.102566,46,1907.102566,0,
1912.092216,21128,1912.092216,30408,1912.092216,0,1912.092216,42,1912.092216,0,
1917.102835,21481,1917.102835,30221,1917.102835,0,1917.102835,51,1917.102835,0,
1922.101455,21071,1922.101455,30358,1922.101455,0,1922.101455,53,1922.101455,0,
1927.102857,21305,1927.102857,30938,1927.102857,0,1927.102857,72,1927.102857,0,
1932.102573,21196,1932.102573,30396,1932.102573,0,1932.102573,43,1932.102573,0,
1937.102916,21195,1937.102916,30509,1937.102916,0,1937.102916,51,1937.102916,0,
1942.119243,21578,1942.119243,30677,1942.119243,0,1942.119243,49,1942.119243,0,
2011.526052,31090,2011.526052,45530,2011.526052,0,2011.526052,76,2011.526052,0,
2016.525651,31059,2016.525651,45262,2016.525651,0,2016.525651,73,2016.525651,0,
2021.525798,30957,2021.525798,45180,2021.525798,0,2021.525798,70,2021.525798,0,
2026.526026,30840,2026.526026,45286,2026.526026,0,2026.526026,61,2026.526026,0,
2031.542406,30981,2031.542406,45721,2031.542406,0,2031.542406,68,2031.542406,0,
2036.536227,31254,2036.536227,45524,2036.536227,0,2036.536227,76,2036.536227,0,
2041.536366,31091,2041.536366,45028,2041.536366,0,2041.536366,67,2041.536366,0,
2046.526577,31066,2046.526577,44946,2046.526577,0,2046.526577,92,2046.526577,0,
2051.536373,31102,2051.536373,45621,2051.536373,0,2051.536373,83,2051.536373,0,
2056.558431,31207,2056.558431,45078,2056.558431,0,2056.558431,83,2056.558431,0,
2061.5526,31338,2061.5526,45317,2061.5526,0,2061.5526,88,2061.5526,0,
2066.559075,31093,2066.559075,44913,2066.559075,0,2066.559075,71,2066.559075,0,
2203.969913,41307,2203.969913,59541,2203.969913,0,2203.969913,119,2203.969913,0,
2208.98657,40952,2208.98657,59137,2208.98657,0,2208.98657,118,2208.98657,0,
2214.003235,41106,2214.003235,59407,2214.003235,0,2214.003235,100,2214.003235,0,
2219.003265,41112,2219.003265,59402,2219.003265,0,2219.003265,120,2219.003265,0,
2224.019934,40679,2224.019934,59627,2224.019934,0,2224.019934,102,2224.019934,0,
2229.019936,40900,2229.019936,59542,2229.019936,0,2229.019936,107,2229.019936,0,
2234.025492,40732,2234.025492,59507,2234.025492,0,2234.025492,107,2234.025492,0,
2239.026331,40777,2239.026331,59737,2239.026331,0,2239.026331,108,2239.026331,0,
2244.036368,40933,2244.036368,59410,2244.036368,0,2244.036368,106,2244.036368,0,
2249.03652,40969,2249.03652,59424,2249.03652,0,2249.03652,119,2249.03652,0,
2254.036334,40665,2254.036334,60181,2254.036334,0,2254.036334,94,2254.036334,0,
2259.035758,40853,2259.035758,59493,2259.035758,0,2259.035758,110,2259.035758,0,
2332.688754,51826,2332.688754,75338,2332.688754,0,2332.688754,153,2332.688754,0,
2337.70522,50669,2337.70522,73824,2337.70522,0,2337.70522,153,2337.70522,0,
2342.703448,49632,2342.703448,73050,2342.703448,0,2342.703448,141,2342.703448,0,
2347.703486,49857,2347.703486,73162,2347.703486,0,2347.703486,146,2347.703486,0,
2352.709794,50268,2352.709794,73074,2352.709794,0,2352.709794,153,2352.709794,0,
